accuracy,delay,server_id,service_id,client_id,added_time,Acc_QoE,Delay_QoE,QoE,compute_time,model,prediction,probability,end_time
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,0.00010428171777023718,0.06797530920020389,95.89408588409424,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:02.139
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,0.00010238599391598852,0.06797436133827676,97.66960906982422,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:03.915
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.866564458286703e-05,0.0679725011636102,101.35240125656128,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:07.607
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.641493044195692e-05,0.06797137580653975,103.71837592124939,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:09.985
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.565004279949363e-05,0.06797099336271852,104.54778385162354,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:10.825
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.499834647136133e-05,0.06797066751455445,105.26499009132385,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:11.548
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.411045285214298e-05,0.06797022356774485,106.25812220573425,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:12.551
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.35629897778488e-05,0.0679699498362077,106.8798680305481,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:13.181
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.243791062893227e-05,0.06796938729663324,108.18072295188904,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:14.489
0.9,0.01,EDGE-1,imagenet_image_classification,raspi-1,2024-04-25T17:52:26.193726,0.13584633668263754,9.147980747500396e-05,0.06796890824505628,109.3137412071228,MobileNet,wig,0.12226170301437378,2024-04-25 17:54:15.631
